Categories,Dimension,Notes,Valeur,Unite,Driving/Driven
Cycliste,Shoulder angle,,46.6,°,Driven
Cycliste,Torso angle,,22.8,°,Driven
Cycliste,Entrejambe,,824,mm,Driving
Cycliste,Shoe length,,281,mm,Driven
Cycliste,CLTX,,-20,mm,Driving
Cycliste,CLTY,,10,mm,Driving
Cycliste,PT,,95,mm,Driven
Cycliste,PH,,186,mm,Driven
Cycliste,SHZ,,52,mm,Driving
Cycliste,AD,,81,mm,Driving
Cycliste,ED,,89,mm,Driving
Cycliste,HD,,212,mm,Driven
Cycliste,HJ,,49,mm,Driving
Cycliste,KD,,113,mm,Driving
Cycliste,PD,,232,mm,Driving
Cycliste,SR,,37,mm,Driving
Cycliste,Position assise X,,0,mm,Driving
Cycliste,Position assise Y,,0,mm,Driving
Cycliste,Angle of the head,,-20.0,°,Driving
Cycliste,BB to hands,,831,mm,Driven
Cycliste,BB to hand angle,,50.9,°,Driven
Cycliste,BB to toe,,270,mm,Driven
Cycliste,Saddle to hands,,698,mm,Driven
Cycliste,Saddle to hands (Direct),,788,mm,Driven
Cycliste,Saddle tip to hands,,549,mm,Driven
Cycliste,Saddle tip to hands (Direct),,659,mm,Driven
Cycliste,Hand tweak X,,0,mm,Driven
Cycliste,Hand tweak Y,,0,mm,Driven
Cycliste,Hands to rear axle (X),,958,mm,Driven
Cycliste,Hands to rear axle (Y),,585,mm,Driven
Cycliste,Hands to front axle (X),,203,mm,Driven
Cycliste,Hands to front axle (Y),,585,mm,Driven
Cycliste,A,,1776,mm,Driving
Cycliste,B,,1463,mm,Driving
Cycliste,C,,824,mm,Driving
Cycliste,D,,385,mm,Driving
Cycliste,E,,605,mm,Driving
Cycliste,F,,17,”,Driving
Cycliste,Taille de chaussure,,US 10   Euro 43,,Driving
Vue auxiliare haubans bases/General,Longueur boitier de pedalier,,73,mm,Driving
Vue auxiliare haubans bases/General,Espace entre les bords internes des bases a la junction de la boite de pedalier,,29,mm,Driven
Vue auxiliare haubans bases/General,Espacement des pattes arrire,,148,mm,Driving
Vue auxiliare haubans bases/General,Offset in drive side direction,,0,mm,Driving
Vue auxiliare haubans bases/General,Wishbone largeur,,N/A,,Driven
Vue auxiliare haubans bases/General,Rear chainline (average),,44,mm,Driven
Vue auxiliare haubans bases/General,Front chainline (average),,60,mm,Driven
Vue auxiliare haubans bases/General,Chainline offset (average),,15,mm,Driven
Vue auxiliare haubans bases/General,Rear chainline (engaged),,40,mm,Driven
Vue auxiliare haubans bases/General,Front chainline (engaged),,56,mm,Driven
Vue auxiliare haubans bases/General,Chainline offset (engaged),,16,mm,Driven
Vue auxiliare haubans bases/Bridge,Miter to miter across front of chain stay bridge,,N/A,,Driven
Vue auxiliare haubans bases/Bridge,Miter to miter across back of chain stay bridge,,N/A,,Driven
Vue auxiliare haubans bases/Bridge,Miter to miter across top of seat stay bridge,,N/A,,Driven
Vue auxiliare haubans bases/Bridge,Miter to miter across bottom of seat stay bridge,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,HR,,13,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,HF,,17,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,F,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,H,,24,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,J,,25,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,K,,8,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,X,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,Z,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,Extension de la face externe du boitier de pedalier depuis le bord de la base,,29,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Longueur des bases,,330,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Longueur des bases 2,,450,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Bases angle de decoupe,,25.1,°,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Angle at dropout,,13.3,°,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,A,,264,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,B,,18,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,R1,,100,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,∠1,,26.4,°,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,C,,132,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,D,,8,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,R2,,100,mm,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,∠2,,14.6,°,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,E,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,F,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,R3,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Drive side,∠3,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Z1,,132,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Z2,,134,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Z3,,68,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Z4,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,S1,,119,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,S2,,98,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,S3,,45,mm,Driven
